,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
261,defocus-blur,resnext,0.28642,0.15863581302465873,-0.028475261558911696,-0.6744945179107429,1.6227999846685215e-12,9.88273674955e-05,5.530741518011094,231.4932224605942,-0.48183970773122814,0.0241475143932178,0.020234144652296702,0.2425846093371422,0.30464262691497807,0.16861770835179238
262,defocus-blur,wide_resnet,0.28788,0.24320029521301384,-0.08258379798908688,-1.259847427842307,-9.104000105869536e-13,0.00023905957461729994,4.33474519865036,189.18469937950135,-0.4752349016135042,0.03584149303304031,0.04940814938757469,0.2262429244946702,0.29293915228128425,0.26520018261952816
263,defocus-blur,densenet121,0.41910000000000003,0.3949362336092629,-0.02995391099591732,-2.194260626336956,1.714705001251704e-10,0.00043265010737149996,7.340126992278101,305.0600124692917,-0.6179739125457824,0.06554114650839939,0.0867136890595583,0.31849393493231126,0.3867635658717156,0.40394583585673427
264,defocus-blur,googlenet,0.4732799999999999,0.4136059032768664,0.07615890729934041,-2.607434772021122,9.157200171749924e-12,0.0004024858091126,8.980344318685528,356.9852021321488,-0.5920405211240503,0.08251230074468999,0.0768091433784573,0.3311223545883143,0.38571910772085194,0.3905207473052769
265,defocus-blur,mobilenet,0.46154,0.23595115253560242,0.10759052065660529,-1.3506090061850564,2.426099902572143e-12,0.00015359480433853253,9.83568570467949,371.07578076248166,-0.46284725916155045,0.0508993146989867,0.0285338008853506,0.3222719233073714,0.3658842170166969,0.21512735432873947
266,defocus-blur5,vgg16,0.6583600000000001,0.648664227674678,0.1633596495589714,-4.259706297411345,1.1128609990994354e-10,0.0006226282496401903,16.652001722106938,618.0429247752189,-0.9125724863989797,0.13907530479379931,0.1169797207586461,0.5311515463629578,0.5942252212142946,0.592600151313926
267,glass-blur,resnet18,0.552,0.45952690012598413,0.05444171596301978,-2.695554113098875,1.4754009992901107e-10,0.0004842500104386,8.947599784297946,366.0156574848748,-0.6803027486089209,0.083863795615416,0.09439876282153889,0.35674015169611106,0.4250534985780716,0.4492504144470014
268,glass-blur,resnet34,0.55744,0.4323844668329135,0.004815701113150106,-2.3919297058469224,1.7364979983461315e-10,0.00047896218198570004,7.631477031087876,322.5958381705857,-0.6779611052592257,0.0707433915400505,0.09595627904947561,0.3420819682515194,0.4166170242261887,0.44227111073326925
269,glass-blur,resnet101,0.55528,0.4365163759768569,-0.04699841330534388,-2.340442069978446,1.837569001041789e-10,0.0004981526157023001,7.378610756421089,315.89519936893464,-0.7170658240783551,0.0661708045777678,0.10184184136318211,0.3514602847954338,0.4370416714954377,0.4620258565200472
270,glass-blur,resnet152,0.5739000000000001,0.4497894709253125,-0.050685484245187595,-2.3902215367610515,1.9143800000093192e-10,0.0005150142070219,7.576329173583986,325.35509794944767,-0.7443389379112271,0.06721960181761538,0.1055964080055192,0.36690062999409867,0.4559707104277611,0.47870893636523815
