Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
elastic-transform,vgg16,0.40812,0.45223343481982126,0.30258426584590226,2.508854554306248,0.001000000048535876,0.0003291343861611381,22.840918215341567,605.967183497715,1.0459448912536828,0.13890902549182996,0.05412063164252457,0.9904008620461635,-0.4394625166082382,0.3353971945227299
elastic-transform,vgg19,0.41738,0.4670603787805699,0.3063200480843048,2.426882115677129,0.0010000000491179526,0.0003449702106720133,23.117454115877152,617.6846612276267,1.0239331419390065,0.14142223261527717,0.05724582315408524,1.0027608496475588,-0.4215447914242744,0.35064980025982334
elastic-transform,alexnet,0.40228,0.408852099899631,0.2923614673257852,2.7275267657997175,0.0010000000478932634,0.0002839135320973537,21.919530434064864,569.9928929847335,1.108481978255836,0.13033409757237882,0.04555989021836315,0.9677992278148487,-0.4604752115726471,0.2971295881336337
elastic-transform,resnext,0.68262,0.3532486560532078,0.18138686657756614,4.566550421255409,0.0010000000315881334,0.0001655143974600992,27.16663018728256,790.983405609169,0.7283789403162199,0.09106117160381749,0.02983866510698075,1.2021285887478415,-0.17932909568071365,0.29781200955163795
elastic-transform,wide_resnet,0.66466,0.5865776779469848,0.23834029893839118,2.707308350178711,0.0010000000321352853,0.00041731071878205964,28.070324526662827,828.9015782050324,0.6018369255921431,0.14403878879979254,0.07710553264921635,1.2362783557611092,-0.134943059797287,0.5081570908674551
elastic-transform,densenet121,0.50308,0.5611478397735581,0.30544970564714746,1.934481134098197,0.0010000000540120527,0.0004408509786261175,25.141004742145537,701.2151702766419,0.8794698849015318,0.15748477471861988,0.07620995474774421,1.0867254595600653,-0.32210225466251374,0.4445544611577829
elastic-transform,googlenet,0.50282,0.44649120585024354,0.303000731083648,2.9532940375609247,0.0010000000316090882,0.00031628723614604494,23.604579535651208,639.8368132728195,0.9981563709253354,0.13014746518699452,0.053888937903854336,1.0352703173482014,-0.38177534430503846,0.34489593020362663
elastic-transform,mobilenet,0.47436,0.19747537618990987,0.18927967137043378,5.209456044934541,0.0010000000295392237,8.293915622189389e-05,20.298788545928,514.5176348300362,1.2008703562291525,0.06413932661754079,0.013457197187570902,0.9477938974015246,-0.48547540863990785,0.14253326875888336
elastic-transform5,resnet50,0.1623,0.1886511120114848,0.14795275652541665,5.31988393483758,0.0010000000285776331,6.540942079814386e-05,21.432796453328134,548.9616576135635,1.19137525722906,0.06362832355279475,0.01003615302353281,0.9505527213046258,-0.4846676634979248,0.1312041691795434
pixelate,resnet50,0.58458,0.3036393488604575,0.1891563868462449,4.721391775978506,0.001000000030635856,0.0001371603735692406,25.14113574439049,703.5344944299698,0.9170675614501442,0.08534876379732043,0.0237375814336252,1.1031615932774712,-0.30499681241989135,0.24124725571780029
gaussian-noise5,resnet50,0.09028,0.08046822051370517,0.0997506167479881,6.003644883946181,0.0010000000284356065,2.033855875028621e-05,13.970988365592957,297.56045711870195,1.4079708163075149,0.03274234362557531,0.002745148494311153,0.8213360986432698,-0.6191626684474945,0.04861734172508586
pixelate,resnet18,0.43334,0.5043408921029047,0.2962734615841997,2.16741996067388,0.0010000000473018736,0.00037780074994681853,24.019640014715193,651.9221418480682,0.9794195506208788,0.15061565723810344,0.06285813187483373,1.0254544196779787,-0.3984392646741867,0.380286582080035
pixelate,resnet34,0.5132,0.6018167232657969,0.2948807265874341,1.6493518206368527,0.0010000000555301085,0.00048468984103601086,25.789902201986312,726.8334270499039,0.8281213734375864,0.16656094620263204,0.08417378889363063,1.1026425973696232,-0.30477207498788833,0.4789962632065996
pixelate,resnet101,0.55452,0.647423559880741,0.29603410578324596,1.4555358003557208,0.0010000000589736738,0.0005399461385541599,26.53182770761013,760.181009769516,0.742111261844024,0.17152857447540387,0.09608797809179112,1.1480984146908157,-0.24838434764146805,0.5321773843600888
pixelate,resnet152,0.57572,0.6449796371415257,0.3020091034103827,1.4901017872250706,0.0010000000577187165,0.0005395609589935111,26.443621982336044,757.302265963707,0.7385933753140916,0.16998935971515253,0.09640715384067394,1.1476117909982206,-0.2487401884293556,0.5320423907560612
pixelate,vgg16,0.29798,0.41974506532013417,0.275769663939644,2.583529305604762,0.001000000041075982,0.0002881312418573657,22.32640255772114,580.5851309778404,1.1142154673900149,0.1372022551844083,0.04494569203342351,0.952074299205715,-0.48332169841051104,0.2955618543436091
pixelate,vgg19,0.31508,0.41659311875363814,0.28329469802782353,2.64173632904356,0.0010000000414741226,0.00028815759155541174,22.173787100691797,576.4039318516732,1.1111845584700053,0.13485354267446326,0.045470613782765255,0.95468099074477,-0.4795413956475258,0.2964838288566945
pixelate,alexnet,0.29068,0.3978086732255295,0.26658058572440174,2.6844940567856765,0.0010000000424310565,0.00026417053429655425,21.921967576599123,564.0283967647553,1.1452531638448065,0.13295939251948147,0.040467268712568845,0.9408607913879645,-0.4965891105222702,0.27599653648185524
pixelate,resnext,0.67336,0.3640724413856864,0.18087679928728906,4.4749749067791145,0.0010000000302284025,0.00017395967493889883,27.2410275152874,792.7789123184585,0.7295179446174861,0.09438849542498588,0.031238660600396016,1.1976983920408306,-0.18828981693029403,0.304782947904379
pixelate,wide_resnet,0.68142,0.6042002579981088,0.23174313385312187,2.5787049483212643,0.0010000000323308633,0.0004361792899071088,28.251493160915373,836.4794930101776,0.5814848457432864,0.1478833017092943,0.08060313807754942,1.2425484263170365,-0.12980846464157106,0.5231280961658726
