,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
59,imagenetv2-threshold0.7-format-val,resnet50,0.03145999999999993,0.020469336000000005,0.001351062000000014,-0.10010296300000032,0.0,1.5783999999999997e-05,0.5073515399999984,23.316806100000008,-0.054512944999999924,0.0027287569999999983,0.00327123,0.034907673000000194,0.04752695900000001,0.023594358999999954
60,imagenetv2-threshold0.7-format-val,resnet18,0.032379999999999964,0.024756829999999952,-0.002881939,-0.10601231700000002,0.0,3.164999999999993e-05,0.3460435100000012,16.054862400000047,-0.04942599999999997,0.002259214999999981,0.007021667999999995,0.02409556200000007,0.029312328,0.03064397200000002
61,imagenetv2-threshold0.7-format-val,resnet34,0.032240000000000046,0.025442424999999935,-0.0075038049999999745,-0.10391120999999992,0.0,3.207000000000004e-05,0.3894658100000008,18.168595199999913,-0.05101979000000001,0.002136350000000009,0.007188818999999999,0.030505561000000014,0.04029609199999999,0.03309557699999999
62,imagenetv2-threshold0.7-format-val,resnet101,0.032340000000000035,0.019986615999999957,-0.0069822570000000195,-0.08363820499999997,0.0,2.7508999999999997e-05,0.24949742000000086,11.580515600000012,-0.04397177000000002,0.0014916140000000022,0.00626078599999999,0.014925884999999806,0.020448654999999996,0.026303081000000006
63,imagenetv2-threshold0.7-format-val,resnet152,0.03212000000000004,0.022423148999999976,-0.01047785699999998,-0.08663443199999998,0.0,2.930200000000004e-05,0.3182384700000007,15.250023499999998,-0.047236893,0.0015070500000000098,0.006705466999999993,0.023694426000000046,0.033611658999999995,0.03059443500000003
64,imagenetv2-threshold0.7-format-val,vgg16,0.034619999999999984,0.03217372500000004,-0.007228790999999957,-0.13756870300000013,0.0,4.040100000000002e-05,0.4884286700000011,22.05988530000002,-0.0640872429999999,0.0031352119999999983,0.008913956,0.03144090799999999,0.03799045300000001,0.03936472899999999
65,imagenetv2-threshold0.7-format-val,vgg19,0.03695999999999999,0.030640157,-0.007633498000000016,-0.13200803999999988,0.0,3.899600000000002e-05,0.4446512899999995,20.191779099999962,-0.06356725900000004,0.002852853999999988,0.00863928600000001,0.024709531999999923,0.030749631,0.03662448899999993
66,imagenetv2-threshold0.7-format-val,alexnet,0.053219999999999934,0.03428154699999997,0.003139892000000033,-0.15678901699999992,0.0,3.9526000000000014e-05,0.628664299999997,26.861872999999946,-0.06083240200000006,0.004479998000000013,0.008333581999999992,0.024913216999999932,0.03136432,0.037895548
67,imagenetv2-threshold0.7-format-val,resnext,0.03080000000000005,0.02487825299999996,0.0035956379999999843,-0.13182157800000027,0.0,2.137499999999999e-05,0.4301394199999997,20.263646400000084,-0.05909740200000002,0.0034406520000000024,0.004421191999999997,0.0294472939999999,0.041316150999999995,0.02862345300000002
68,imagenetv2-threshold0.7-format-val,wide_resnet,0.029839999999999978,0.020146448999999955,-0.008102211000000026,-0.10485701500000033,0.0,2.3798000000000005e-05,0.241805209999999,11.587947600000007,-0.04323239099999998,0.002177877999999994,0.005165810999999992,0.019970091000000023,0.028344851,0.024940037999999998
69,imagenetsketch,resnet50,0.5099610339999999,0.17116686499999997,0.00594958000000001,-0.7204006410000003,0.0,0.00010640000000000001,6.072213489999999,260.5007128,-0.51540446,0.025282912000000005,0.021695943999999998,0.28971443500000005,0.368482115,0.182952085
70,imagenetv2-threshold0.7-format-val,densenet121,0.03934000000000004,0.025834425999999966,-0.006710243000000005,-0.10205529499999999,0.0,3.302100000000005e-05,0.37748456000000274,17.784642700000063,-0.05296520199999999,0.0019990510000000017,0.0074508809999999925,0.029021492000000038,0.03882517599999999,0.033724325
71,imagenetv2-threshold0.7-format-val,googlenet,0.025479999999999947,0.03303220500000004,-0.002168431000000026,-0.17604504199999993,0.0,3.8623e-05,0.5109389300000018,22.803655100000014,-0.05686555900000001,0.004364043000000012,0.008094765000000004,0.029655761999999974,0.03361287900000001,0.036780831000000014
72,imagenetv2-threshold0.7-format-val,mobilenet,0.03256000000000003,0.026662101999999965,0.007552662999999987,-0.15352792799999992,0.0,2.1593000000000008e-05,0.6404855599999983,27.31919330000005,-0.05180870599999998,0.004652937999999995,0.004234735,0.030048563000000028,0.03409882400000003,0.02688257599999999
73,imagenetv2-top-images-format-val,resnet50,-0.011230105000000101,0.004087946000000009,0.0069870200000000104,-0.04449618000000033,0.0,5.809000000000012e-06,-0.07941553000000212,-2.9544760999999653,0.006107197000000064,0.0010643860000000005,0.0010824749999999994,-0.0006886919999999908,0.0011268749999999994,0.003938058999999994
74,imagenetv2-top-images-format-val,resnet18,-0.030655882000000023,-0.016260836000000056,0.009090235999999974,0.07355095200000017,0.0,-1.8176999999999972e-05,-0.3154531700000014,-13.786782099999982,0.02811807300000002,-0.0021415980000000223,-0.0037726650000000084,-0.015229442000000093,-0.023946017999999986,-0.017414486999999923
75,imagenetv2-top-images-format-val,resnet34,-0.028079390000000037,-0.012058146999999964,0.007957044000000024,0.05536269000000005,0.0,-1.4466999999999995e-05,-0.1932082500000014,-8.445280400000001,0.02205058399999993,-0.0015019119999999941,-0.0030380160000000045,-0.009354444999999822,-0.01025377000000001,-0.012463396999999987
76,imagenetv2-top-images-format-val,resnet101,-0.012766747000000023,-0.009222353000000072,0.008542901999999991,0.03905582299999999,0.0,-1.0634000000000034e-05,-0.157977810000002,-7.309879099999989,0.01612069699999996,-0.001027147000000006,-0.0022644930000000063,-0.009623983000000003,-0.014106721999999995,-0.01067969599999996
